Batch_ID,Machine_ID,Line_ID,Product_ID,Temperature,Pressure,Speed,Vibration,Humidity,Operator,Shift,Production_Time,Has_Defect,Defect_Type,Defect_Status
BAT-10035,M-02,Line-1,PROD-A10,77.2,8.86,1383,2.62,50.3,Op-David,Night,2026-05-07 11:29,0,None,PASS
BAT-10036,M-02,Line-1,PROD-B20,71.1,7.85,1217,2.55,44.6,Op-Bob,Morning,2026-06-27 11:29,0,None,PASS
BAT-10037,M-07,Line-4,PROD-B20,71.5,7.16,1229,4.82,52.6,Op-Charlie,Afternoon,2026-04-14 11:29,0,None,PASS
BAT-10038,M-02,Line-1,PROD-D40,77.9,8.66,1234,2.54,42.9,Op-Elena,Morning,2026-02-22 11:29,0,None,PASS
BAT-10039,M-01,Line-1,PROD-A10,72.4,9.67,1238,2.12,39.9,Op-Bob,Morning,2026-05-25 11:29,0,None,PASS
BAT-10040,M-04,Line-2,PROD-D40,81.9,8.13,1350,5.01,79.6,Op-Alice,Morning,2026-05-18 11:29,1,Surface Crack,REWORK
BAT-10041,M-08,Line-4,PROD-C30,74.2,9.48,1228,2.3,43.0,Op-David,Night,2026-07-02 11:29,0,None,PASS
BAT-10042,M-08,Line-4,PROD-B20,70.7,9.52,1177,2.47,42.9,Op-Bob,Afternoon,2026-04-06 11:29,0,None,PASS
BAT-10043,M-01,Line-1,PROD-C30,75.9,8.14,1207,2.28,35.0,Op-Alice,Morning,2026-07-09 11:29,0,None,PASS
BAT-10044,M-03,Line-2,PROD-A10,69.0,7.95,1279,1.69,53.3,Op-Elena,Morning,2026-03-29 11:29,0,None,PASS
BAT-10045,M-02,Line-1,PROD-B20,70.4,9.18,1210,2.68,44.1,Op-David,Morning,2026-07-05 11:29,0,None,PASS
BAT-10046,M-01,Line-1,PROD-A10,74.8,8.63,1239,2.56,48.5,Op-David,Night,2026-07-09 11:29,0,None,PASS
BAT-10047,M-06,Line-3,PROD-C30,70.4,8.52,1236,3.07,49.1,Op-Bob,Night,2026-05-01 11:29,0,None,PASS
BAT-10048,M-07,Line-4,PROD-B20,77.7,5.7,1421,3.13,62.3,Op-Frank,Night,2026-04-27 11:29,1,Dimensional Deviation,SCRAP
BAT-10049,M-02,Line-1,PROD-A10,74.5,8.97,1237,1.98,47.9,Op-David,Night,2026-07-04 11:29,0,None,PASS
BAT-10050,M-02,Line-1,PROD-B20,77.9,8.38,1191,2.15,49.0,Op-Elena,Afternoon,2026-03-15 11:29,0,None,PASS
BAT-10051,M-02,Line-1,PROD-B20,74.1,8.94,1196,2.62,49.3,Op-Charlie,Afternoon,2026-03-22 11:29,0,None,PASS
BAT-10052,M-05,Line-3,PROD-A10,80.5,9.13,1129,2.25,46.2,Op-Frank,Night,2026-04-27 11:29,0,None,PASS
BAT-10053,M-02,Line-1,PROD-B20,75.6,8.59,1169,2.35,48.3,Op-Charlie,Morning,2026-03-09 11:29,0,None,PASS
BAT-10054,M-03,Line-2,PROD-C30,74.1,9.0,1237,1.96,53.4,Op-Charlie,Night,2026-04-04 11:29,0,None,PASS
BAT-10055,M-04,Line-2,PROD-C30,85.1,8.35,1293,4.28,63.0,Op-Elena,Afternoon,2026-04-15 11:29,1,Surface Crack,SCRAP
BAT-10056,M-02,Line-1,PROD-D40,68.9,9.39,1196,2.01,48.0,Op-Charlie,Morning,2026-02-10 11:29,0,None,PASS
BAT-10057,M-03,Line-2,PROD-C30,73.9,8.86,1278,2.41,47.6,Op-Bob,Night,2026-06-03 11:29,0,None,PASS
BAT-10058,M-07,Line-4,PROD-A10,78.2,7.58,1385,3.48,55.3,Op-Alice,Morning,2026-08-05 11:29,0,None,PASS
BAT-10059,M-01,Line-1,PROD-C30,77.6,9.68,1175,2.79,51.5,Op-Elena,Night,2026-03-19 11:29,0,None,PASS
BAT-10060,M-01,Line-1,PROD-C30,73.7,9.09,1144,2.17,51.1,Op-Charlie,Morning,2026-05-12 11:29,0,None,PASS
BAT-10061,M-04,Line-2,PROD-A10,83.4,9.04,1433,2.66,70.4,Op-Charlie,Night,2026-05-25 11:29,0,None,PASS
BAT-10062,M-03,Line-2,PROD-B20,75.9,9.34,1241,2.85,47.5,Op-Bob,Morning,2026-05-26 11:29,1,Color Variance,SCRAP
BAT-10063,M-07,Line-4,PROD-B20,76.4,3.8,1451,4.03,54.4,Op-Charlie,Morning,2026-08-08 11:29,1,Dimensional Deviation,SCRAP
BAT-10064,M-08,Line-4,PROD-B20,73.7,8.57,1221,2.6,49.2,Op-Bob,Afternoon,2026-05-10 11:29,0,None,PASS
BAT-10065,M-04,Line-2,PROD-B20,85.9,9.35,1476,5.19,60.5,Op-Alice,Night,2026-03-31 11:29,1,Surface Crack,REWORK
BAT-10066,M-02,Line-1,PROD-C30,78.2,9.37,1172,2.34,46.8,Op-Charlie,Night,2026-06-20 11:29,0,None,PASS
BAT-10067,M-06,Line-3,PROD-A10,74.2,9.63,1288,2.57,47.0,Op-Alice,Afternoon,2026-03-27 11:29,0,None,PASS
BAT-10068,M-05,Line-3,PROD-A10,79.0,9.04,1190,2.59,46.6,Op-Alice,Night,2026-06-01 11:29,0,None,PASS
BAT-10069,M-06,Line-3,PROD-D40,70.6,8.47,1242,1.85,54.0,Op-Elena,Night,2026-03-11 11:29,0,None,PASS
BAT-10070,M-04,Line-2,PROD-C30,85.4,10.6,1394,5.28,56.3,Op-Alice,Night,2026-06-01 11:29,1,Surface Crack,SCRAP
BAT-10071,M-04,Line-2,PROD-C30,87.2,10.17,1335,3.37,64.4,Op-David,Morning,2026-07-30 11:29,0,None,PASS
BAT-10072,M-06,Line-3,PROD-A10,79.1,8.44,1189,1.68,46.1,Op-Frank,Afternoon,2026-06-19 11:29,0,None,PASS
BAT-10073,M-07,Line-4,PROD-C30,77.0,6.05,1272,3.08,52.2,Op-David,Night,2026-04-26 11:29,0,None,PASS
BAT-10074,M-04,Line-2,PROD-D40,86.5,11.0,1496,3.48,63.7,Op-Frank,Afternoon,2026-08-02 11:29,1,Dimensional Deviation,REWORK
BAT-10075,M-05,Line-3,PROD-D40,72.6,8.46,1106,1.89,41.9,Op-Elena,Morning,2026-04-28 11:29,0,None,PASS
BAT-10076,M-07,Line-4,PROD-C30,81.0,4.82,1352,4.16,59.8,Op-David,Afternoon,2026-06-03 11:29,1,Surface Crack,REWORK
BAT-10077,M-03,Line-2,PROD-A10,72.9,7.8,1219,2.15,45.0,Op-Charlie,Night,2026-07-29 11:29,0,None,PASS
BAT-10078,M-06,Line-3,PROD-A10,74.0,8.42,1219,1.83,51.6,Op-Bob,Night,2026-04-30 11:29,0,None,PASS
BAT-10079,M-04,Line-2,PROD-B20,79.9,11.32,1468,4.89,60.7,Op-Alice,Morning,2026-04-13 11:29,0,None,PASS
BAT-10080,M-02,Line-1,PROD-D40,79.1,7.95,1123,2.42,51.8,Op-David,Night,2026-07-07 11:29,0,None,PASS
BAT-10081,M-07,Line-4,PROD-D40,76.3,5.37,1285,2.74,55.2,Op-David,Morning,2026-03-19 11:29,0,None,PASS
BAT-10082,M-01,Line-1,PROD-A10,75.0,8.56,1220,1.77,49.1,Op-David,Morning,2026-03-27 11:29,0,None,PASS
BAT-10083,M-08,Line-4,PROD-A10,71.6,8.65,1243,2.3,41.3,Op-Elena,Morning,2026-03-13 11:29,0,None,PASS
BAT-10084,M-08,Line-4,PROD-C30,73.5,8.1,1222,2.49,37.0,Op-David,Night,2026-06-19 11:29,0,None,PASS
BAT-10085,M-08,Line-4,PROD-B20,69.8,8.57,1155,2.36,45.4,Op-Frank,Afternoon,2026-06-05 11:29,0,None,PASS
BAT-10086,M-04,Line-2,PROD-C30,81.1,10.56,1519,4.85,73.4,Op-Elena,Afternoon,2026-07-20 11:29,1,Surface Crack,REWORK
BAT-10087,M-05,Line-3,PROD-B20,72.0,8.89,1200,1.11,49.5,Op-Charlie,Afternoon,2026-05-02 11:29,0,None,PASS
BAT-10088,M-02,Line-1,PROD-B20,75.2,9.39,1204,1.86,48.5,Op-Bob,Morning,2026-05-19 11:29,0,None,PASS
BAT-10089,M-04,Line-2,PROD-A10,81.9,10.19,1382,4.26,70.0,Op-David,Afternoon,2026-05-05 11:29,1,Surface Crack,REWORK
BAT-10090,M-04,Line-2,PROD-D40,84.2,10.75,1397,7.3,77.1,Op-David,Night,2026-08-07 11:29,1,Surface Crack,SCRAP
BAT-10091,M-07,Line-4,PROD-D40,83.9,6.66,1333,3.21,59.1,Op-Alice,Afternoon,2026-04-27 11:29,0,None,PASS
BAT-10092,M-07,Line-4,PROD-B20,74.9,6.6,1362,1.65,57.8,Op-David,Morning,2026-04-20 11:29,1,Dimensional Deviation,REWORK
BAT-10093,M-06,Line-3,PROD-D40,73.0,8.92,1312,2.24,48.7,Op-Frank,Morning,2026-06-09 11:29,0,None,PASS
BAT-10094,M-01,Line-1,PROD-D40,72.6,8.19,1277,2.56,49.6,Op-Elena,Night,2026-07-29 11:29,1,Porosity,REWORK
BAT-10095,M-08,Line-4,PROD-B20,71.6,8.38,1226,1.99,51.0,Op-Alice,Afternoon,2026-05-18 11:29,0,None,PASS
BAT-10096,M-08,Line-4,PROD-C30,77.5,9.1,1136,1.73,49.1,Op-Charlie,Afternoon,2026-04-22 11:29,0,None,PASS
BAT-10097,M-07,Line-4,PROD-C30,83.2,7.12,1345,1.95,56.4,Op-Alice,Afternoon,2026-02-14 11:29,0,None,PASS
BAT-10098,M-01,Line-1,PROD-C30,75.3,8.62,1290,2.03,50.4,Op-Bob,Night,2026-02-27 11:29,0,None,PASS
BAT-10099,M-01,Line-1,PROD-A10,77.4,9.4,1186,2.85,44.0,Op-Bob,Morning,2026-02-15 11:29,0,None,PASS
BAT-10100,M-04,Line-2,PROD-B20,98.1,10.32,1367,4.86,67.1,Op-David,Night,2026-03-11 11:29,1,Surface Crack,REWORK
BAT-10101,M-05,Line-3,PROD-C30,71.3,9.01,1213,2.02,42.8,Op-Bob,Night,2026-07-15 11:29,0,None,PASS
BAT-10102,M-02,Line-1,PROD-B20,71.2,8.53,1209,1.58,42.7,Op-Charlie,Morning,2026-07-08 11:29,1,Color Variance,REWORK
BAT-10103,M-07,Line-4,PROD-D40,80.4,8.79,1434,3.04,53.7,Op-Frank,Morning,2026-03-01 11:29,0,None,PASS
BAT-10104,M-04,Line-2,PROD-A10,84.0,9.96,1359,3.58,69.0,Op-Frank,Afternoon,2026-08-04 11:29,0,None,PASS
BAT-10105,M-02,Line-1,PROD-A10,74.5,8.31,1185,2.45,47.9,Op-Charlie,Night,2026-05-30 11:29,0,None,PASS
BAT-10106,M-02,Line-1,PROD-C30,77.5,7.27,1116,1.88,43.0,Op-Alice,Afternoon,2026-06-15 11:29,0,None,PASS
BAT-10107,M-06,Line-3,PROD-D40,73.1,7.9,1174,1.96,43.6,Op-Frank,Morning,2026-06-01 11:29,0,None,PASS
BAT-10108,M-05,Line-3,PROD-D40,75.2,8.21,1205,2.8,48.1,Op-David,Afternoon,2026-07-11 11:29,0,None,PASS
BAT-10109,M-04,Line-2,PROD-A10,78.6,9.28,1464,5.59,59.4,Op-Charlie,Afternoon,2026-04-13 11:29,0,None,PASS
BAT-10110,M-07,Line-4,PROD-C30,80.8,4.88,1367,3.7,56.3,Op-Alice,Afternoon,2026-05-04 11:29,1,Dimensional Deviation,REWORK
BAT-10111,M-05,Line-3,PROD-C30,77.6,8.9,1196,1.89,49.3,Op-Charlie,Night,2026-08-08 11:29,0,None,PASS
BAT-10112,M-01,Line-1,PROD-B20,70.9,8.19,1269,1.6,41.0,Op-Alice,Morning,2026-05-25 11:29,0,None,PASS
BAT-10113,M-04,Line-2,PROD-D40,93.4,7.72,1572,3.72,69.5,Op-Frank,Night,2026-06-15 11:29,1,Dimensional Deviation,REWORK
BAT-10114,M-05,Line-3,PROD-B20,77.6,8.58,1194,2.17,53.4,Op-David,Night,2026-04-13 11:29,0,None,PASS
BAT-10115,M-06,Line-3,PROD-D40,77.0,8.69,1201,1.71,48.1,Op-Elena,Night,2026-05-09 11:29,0,None,PASS
BAT-10116,M-06,Line-3,PROD-C30,69.9,8.88,1300,2.24,50.9,Op-Frank,Afternoon,2026-04-20 11:29,0,None,PASS
BAT-10117,M-04,Line-2,PROD-A10,88.7,11.47,1511,5.08,55.1,Op-Frank,Morning,2026-05-01 11:29,1,Surface Crack,REWORK
BAT-10118,M-03,Line-2,PROD-B20,74.3,8.7,1145,1.8,50.3,Op-Bob,Night,2026-06-13 11:29,0,None,PASS
BAT-10119,M-05,Line-3,PROD-A10,76.6,8.13,1328,1.71,50.0,Op-Bob,Afternoon,2026-04-09 11:29,0,None,PASS
BAT-10120,M-05,Line-3,PROD-A10,76.8,7.84,1209,2.45,45.4,Op-Frank,Night,2026-03-14 11:29,0,None,PASS
BAT-10121,M-01,Line-1,PROD-C30,78.4,8.29,1291,2.09,50.8,Op-Frank,Morning,2026-07-23 11:29,0,None,PASS
BAT-10122,M-08,Line-4,PROD-A10,73.4,9.06,1130,2.0,52.6,Op-Alice,Night,2026-04-23 11:29,0,None,PASS
BAT-10123,M-08,Line-4,PROD-C30,75.6,8.69,1149,2.07,49.5,Op-Bob,Morning,2026-04-15 11:29,0,None,PASS
BAT-10124,M-08,Line-4,PROD-A10,77.2,9.13,1189,2.34,50.5,Op-Alice,Afternoon,2026-06-15 11:29,0,None,PASS
BAT-10125,M-01,Line-1,PROD-B20,76.7,8.74,1152,2.65,43.7,Op-Bob,Night,2026-04-28 11:29,1,Dimensional Deviation,REWORK
BAT-10126,M-07,Line-4,PROD-B20,82.0,6.09,1315,3.94,59.4,Op-Elena,Afternoon,2026-06-05 11:29,1,Surface Crack,REWORK
BAT-10127,M-07,Line-4,PROD-C30,78.2,5.59,1326,3.47,56.1,Op-Elena,Night,2026-02-25 11:29,0,None,PASS
BAT-10128,M-02,Line-1,PROD-B20,75.0,7.64,1180,1.91,52.2,Op-Frank,Morning,2026-04-18 11:29,0,None,PASS
BAT-10129,M-03,Line-2,PROD-B20,77.9,8.64,1257,2.45,45.9,Op-Bob,Night,2026-03-01 11:29,0,None,PASS
BAT-10130,M-07,Line-4,PROD-D40,73.4,3.74,1284,4.32,59.0,Op-Frank,Night,2026-06-10 11:29,1,Dimensional Deviation,REWORK
BAT-10131,M-05,Line-3,PROD-D40,74.2,8.58,1220,1.86,54.2,Op-Alice,Night,2026-04-10 11:29,0,None,PASS
BAT-10132,M-04,Line-2,PROD-D40,85.4,8.97,1627,3.85,63.4,Op-Alice,Night,2026-04-08 11:29,1,Surface Crack,SCRAP
BAT-10133,M-03,Line-2,PROD-A10,75.2,8.74,1320,2.17,45.4,Op-Alice,Morning,2026-04-29 11:29,0,None,PASS
BAT-10134,M-05,Line-3,PROD-D40,75.4,8.29,1187,1.89,47.3,Op-Alice,Afternoon,2026-08-05 11:29,0,None,PASS
BAT-10135,M-07,Line-4,PROD-C30,77.6,5.03,1385,4.36,52.2,Op-Elena,Night,2026-06-16 11:29,1,Dimensional Deviation,REWORK
BAT-10136,M-07,Line-4,PROD-C30,75.1,6.43,1322,3.64,57.9,Op-Elena,Afternoon,2026-02-16 11:29,1,Dimensional Deviation,SCRAP
BAT-10137,M-01,Line-1,PROD-C30,74.8,8.93,1300,2.21,47.3,Op-Elena,Morning,2026-03-26 11:29,0,None,PASS
BAT-10138,M-08,Line-4,PROD-C30,78.0,8.12,1172,1.95,48.0,Op-Bob,Night,2026-06-01 11:29,0,None,PASS
BAT-10139,M-08,Line-4,PROD-A10,77.0,9.86,1186,2.09,46.0,Op-David,Afternoon,2026-05-25 11:29,0,None,PASS
BAT-10140,M-02,Line-1,PROD-B20,69.9,8.83,1220,2.52,49.2,Op-Charlie,Afternoon,2026-08-06 11:29,0,None,PASS
BAT-10141,M-07,Line-4,PROD-A10,79.8,7.69,1437,3.77,61.9,Op-David,Morning,2026-05-01 11:29,1,Dimensional Deviation,REWORK
BAT-10142,M-07,Line-4,PROD-A10,78.7,5.03,1298,4.0,57.5,Op-Frank,Night,2026-06-08 11:29,1,Dimensional Deviation,REWORK
BAT-10143,M-06,Line-3,PROD-D40,74.1,7.92,1243,2.18,50.6,Op-Frank,Afternoon,2026-02-23 11:29,0,None,PASS
BAT-10144,M-03,Line-2,PROD-C30,76.4,8.4,1234,3.17,48.2,Op-David,Night,2026-06-14 11:29,0,None,PASS
BAT-10145,M-04,Line-2,PROD-B20,86.6,10.87,1327,4.51,68.9,Op-Charlie,Night,2026-02-13 11:29,1,Surface Crack,REWORK
BAT-10146,M-02,Line-1,PROD-D40,76.7,8.34,1204,2.15,39.9,Op-Alice,Night,2026-03-21 11:29,0,None,PASS
BAT-10147,M-05,Line-3,PROD-C30,68.5,8.82,1187,1.52,43.9,Op-David,Afternoon,2026-06-10 11:29,0,None,PASS
BAT-10148,M-03,Line-2,PROD-D40,78.2,9.26,1199,2.77,43.4,Op-Bob,Night,2026-06-20 11:29,0,None,PASS
BAT-10149,M-03,Line-2,PROD-A10,72.3,8.58,1220,1.49,47.0,Op-Charlie,Afternoon,2026-05-08 11:29,0,None,PASS
BAT-10150,M-05,Line-3,PROD-A10,76.3,8.49,1252,2.48,46.6,Op-Charlie,Night,2026-04-27 11:29,0,None,PASS
BAT-10151,M-08,Line-4,PROD-B20,76.0,8.88,1230,2.38,50.6,Op-David,Night,2026-06-13 11:29,0,None,PASS
BAT-10152,M-07,Line-4,PROD-D40,82.4,6.89,1272,4.13,54.8,Op-Charlie,Morning,2026-08-07 11:29,1,Surface Crack,REWORK
BAT-10153,M-07,Line-4,PROD-A10,86.2,6.14,1242,2.91,55.6,Op-Charlie,Night,2026-06-11 11:29,0,None,PASS
BAT-10154,M-07,Line-4,PROD-D40,78.7,6.16,1337,2.97,51.6,Op-Frank,Night,2026-03-20 11:29,0,None,PASS
BAT-10155,M-01,Line-1,PROD-B20,76.8,8.12,1207,2.7,48.0,Op-Elena,Night,2026-05-05 11:29,0,None,PASS
BAT-10156,M-08,Line-4,PROD-A10,71.8,8.62,1197,1.64,47.7,Op-Elena,Afternoon,2026-02-13 11:29,0,None,PASS
BAT-10157,M-07,Line-4,PROD-B20,77.0,8.72,1398,2.5,52.1,Op-Alice,Afternoon,2026-04-18 11:29,1,Dimensional Deviation,SCRAP
BAT-10158,M-02,Line-1,PROD-C30,76.5,8.2,1291,2.69,49.4,Op-Frank,Night,2026-05-18 11:29,0,None,PASS
BAT-10159,M-08,Line-4,PROD-A10,72.7,9.26,1218,2.52,56.3,Op-Elena,Morning,2026-04-11 11:29,0,None,PASS
BAT-10160,M-05,Line-3,PROD-B20,73.1,8.7,1163,1.82,45.9,Op-Frank,Morning,2026-06-01 11:29,0,None,PASS
BAT-10161,M-02,Line-1,PROD-D40,81.1,9.46,1229,2.25,48.2,Op-Bob,Night,2026-04-27 11:29,0,None,PASS
BAT-10162,M-01,Line-1,PROD-C30,76.7,8.54,1251,2.15,51.5,Op-Alice,Afternoon,2026-05-12 11:29,0,None,PASS
BAT-10163,M-03,Line-2,PROD-B20,70.3,8.71,1257,1.61,54.7,Op-Elena,Afternoon,2026-07-04 11:29,0,None,PASS
BAT-10164,M-03,Line-2,PROD-B20,69.9,8.31,1246,1.92,48.7,Op-Bob,Morning,2026-07-16 11:29,0,None,PASS
BAT-10165,M-04,Line-2,PROD-D40,90.6,9.17,1455,6.42,71.5,Op-Elena,Morning,2026-04-10 11:29,1,Surface Crack,REWORK
BAT-10166,M-05,Line-3,PROD-A10,74.8,8.45,1135,2.2,47.8,Op-David,Afternoon,2026-08-02 11:29,0,None,PASS
BAT-10167,M-02,Line-1,PROD-D40,68.0,9.17,1131,2.8,46.6,Op-Charlie,Night,2026-04-27 11:29,0,None,PASS
BAT-10168,M-07,Line-4,PROD-C30,81.9,5.21,1233,2.42,53.6,Op-David,Afternoon,2026-04-01 11:29,0,None,PASS
BAT-10169,M-08,Line-4,PROD-A10,70.8,9.1,1187,2.13,41.8,Op-Bob,Afternoon,2026-07-06 11:29,0,None,PASS
BAT-10170,M-05,Line-3,PROD-C30,73.9,8.86,1248,2.17,52.9,Op-Alice,Night,2026-05-22 11:29,0,None,PASS
BAT-10171,M-01,Line-1,PROD-D40,74.6,8.47,1201,2.51,47.7,Op-Charlie,Morning,2026-07-15 11:29,0,None,PASS
BAT-10172,M-04,Line-2,PROD-B20,83.4,8.77,1402,4.76,71.1,Op-Elena,Afternoon,2026-08-02 11:29,1,Surface Crack,SCRAP
BAT-10173,M-03,Line-2,PROD-A10,75.7,9.1,1079,2.61,56.4,Op-Frank,Night,2026-02-20 11:29,0,None,PASS
BAT-10174,M-08,Line-4,PROD-A10,71.7,8.92,1222,2.04,45.4,Op-Elena,Afternoon,2026-03-15 11:29,0,None,PASS
BAT-10175,M-05,Line-3,PROD-C30,74.5,9.04,1232,2.02,48.6,Op-Frank,Afternoon,2026-03-26 11:29,0,None,PASS
BAT-10176,M-06,Line-3,PROD-C30,76.4,8.75,1189,2.25,48.3,Op-Bob,Afternoon,2026-06-13 11:29,0,None,PASS
BAT-10177,M-05,Line-3,PROD-C30,77.0,8.92,1158,2.54,54.5,Op-Alice,Afternoon,2026-03-01 11:29,0,None,PASS
BAT-10178,M-04,Line-2,PROD-D40,88.8,9.55,1450,3.54,78.0,Op-Elena,Afternoon,2026-03-05 11:29,1,Dimensional Deviation,REWORK
BAT-10179,M-02,Line-1,PROD-D40,77.8,9.19,1154,2.34,50.4,Op-Charlie,Night,2026-08-01 11:29,0,None,PASS
BAT-10180,M-07,Line-4,PROD-C30,79.8,4.76,1254,4.0,46.8,Op-Alice,Night,2026-04-10 11:29,1,Dimensional Deviation,SCRAP
BAT-10181,M-06,Line-3,PROD-B20,70.7,9.42,1255,1.84,45.2,Op-Frank,Morning,2026-07-22 11:29,0,None,PASS
BAT-10182,M-05,Line-3,PROD-D40,74.1,9.16,1189,3.0,47.9,Op-Alice,Morning,2026-02-21 11:29,0,None,PASS
BAT-10183,M-05,Line-3,PROD-D40,69.9,9.11,1319,1.54,53.5,Op-Alice,Morning,2026-04-11 11:29,0,None,PASS
BAT-10184,M-03,Line-2,PROD-D40,73.4,8.8,1201,2.33,50.2,Op-David,Afternoon,2026-07-31 11:29,0,None,PASS
BAT-10185,M-07,Line-4,PROD-B20,79.3,4.82,1267,2.21,55.9,Op-David,Night,2026-03-07 11:29,0,None,PASS
BAT-10186,M-07,Line-4,PROD-C30,76.9,3.98,1339,4.48,54.2,Op-Alice,Night,2026-05-15 11:29,1,Dimensional Deviation,REWORK
BAT-10187,M-04,Line-2,PROD-C30,87.1,8.21,1459,4.48,67.9,Op-Alice,Night,2026-05-15 11:29,1,Surface Crack,SCRAP
